,"[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20200101-20200331,20191201-20200331,20190601-20190930,20190301-20190630,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20181201-20190331,20180601-20180930,20180301-20180630,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20171201-20180331,20170601-20170930,20170301-20170630,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20161201-20170331,20160601-20160930,20160301-20160630,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20151201-20160331,20150601-20150930,20150301-20150630,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20141201-20150331,20140701-20140930-20140101-20140930,20140601-20140930,20140401-20140630-20140101-20140630,20140301-20140630,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20131201-20140331,20130701-20130930-20130101-20130930,20130601-20130930,20130401-20130630-20130101-20130630,20130301-20130630,20130101-20131231,20130101-20130331,20120701-20120930-20120101-20120930,20120601-20120930,20120401-20120630-20120101-20120630,20120301-20120630,20120101-20121231,20120101-20120331,20110701-20110930-20110101-20110930,20110601-20110930,20110401-20110630-20110101-20110630,20110301-20110630,20110101-20111231,20110101-20110331,20100701-20100930-20100101-20100930,20100601-20100930,20100401-20100630-20100101-20100630,20100301-20100630,20100101-20101231,20100101-20100331,20090701-20090930-20090101-20090930,20090601-20090930,20090401-20090630-20090101-20090630,20090301-20090630,20090101-20091231,20090101-20090331,20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231,19960101-19961231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_Revenue,매출 및 지분법 손익,Revenue(Sales),손익계산서 [abstract],매출 및 지분법 손익,,,1585377000000.0,1585377000000.0,1675344000000.0,1619631000000.0,6575339000000.0,4922240000000.0,3246896000000.0,1627265000000.0,1627265000000.0,1899630000000.0,1911046000000.0,7743355000000.0,5692821000000.0,3793191000000.0,1882145000000.0,1882145000000.0,2970211000000.0,2854058000000.0,7819282000000.0,8412878000000.0,5442667000000.0,2588609000000.0,2588609000000.0,2441150000000.0,2473321000000.0,9673887000000.0,7023691000000.0,4622075000000.0,2148754000000.0,2148754000000.0,2590265000000.0,2415080000000.0,9965365000000.0,7158043000000.0,4569027000000.0,2153947000000.0,2153947000000.0,6899444000000.0,2407787000000.0,4491657000000.0,2409242000000.0,9865402000000.0,6899444000000.0,4491657000000.0,2082415000000.0,2082415000000.0,6938074000000.0,2366710000000.0,4571364000000.0,2454589000000.0,9799213000000.0,2116775000000.0,6995128000000.0,2394914000000.0,4600214000000.0,2530009000000.0,9695204000000.0,2104174000000.0,7236630000000.0,2309079000000.0,4927551000000.0,2655927000000.0,10059024000000.0,2271624000000.0,6851591000000.0,2264303000000.0,4587288000000.0,2524811000000.0,9480201000000.0,2062477000000.0,,,,,,1371514000000.0,,,,,,,,,,,,,
1,ifrs-full_RevenueFromSaleOfGoods,제품및상품매출,Revenue(Saels) from sale of goods,손익계산서 [abstract],매출 및 지분법 손익,제품및상품매출,,97532000000.0,97532000000.0,182803000000.0,194798000000.0,763966000000.0,487573000000.0,304770000000.0,109972000000.0,109972000000.0,147908000000.0,127141000000.0,688320000000.0,369735000000.0,221827000000.0,94686000000.0,94686000000.0,,,738887000000.0,,,1005196000000.0,1005196000000.0,,1081020000000.0,4378680000000.0,,2076006000000.0,994986000000.0,994986000000.0,1301522000000.0,1217524000000.0,5250038000000.0,3690195000000.0,2388673000000.0,1171149000000.0,1171149000000.0,3842471000000.0,1346666000000.0,2495805000000.0,1304636000000.0,5458392000000.0,3842471000000.0,2495805000000.0,1191169000000.0,1191169000000.0,3875041000000.0,1278109000000.0,2596932000000.0,1380611000000.0,5452982000000.0,1216321000000.0,3716409000000.0,1299222000000.0,2417187000000.0,1309897000000.0,5352248000000.0,1121273000000.0,3883438000000.0,1313232000000.0,2570206000000.0,1390804000000.0,5495807000000.0,1179402000000.0,3340331000000.0,1189160000000.0,2151171000000.0,1187721000000.0,4868655000000.0,963450000000.0,2604913000000.0,947256000000.0,1657657000000.0,928082000000.0,3907002000000.0,729575000000.0,,,,,,,,,,,,,
2,ifrs-full_RevenueFromRenderingOfServices,용역매출,Revenue(Sales) from rendering of services,손익계산서 [abstract],매출 및 지분법 손익,용역매출,,441252000000.0,441252000000.0,489757000000.0,437538000000.0,1926718000000.0,1378706000000.0,888949000000.0,451411000000.0,451411000000.0,764279000000.0,458254000000.0,1976270000000.0,2333400000000.0,936848000000.0,478594000000.0,478594000000.0,,,1946865000000.0,,,523685000000.0,523685000000.0,,498615000000.0,1919963000000.0,,991458000000.0,492843000000.0,492843000000.0,580672000000.0,505412000000.0,2147916000000.0,1563172000000.0,983738000000.0,478326000000.0,478326000000.0,1416253000000.0,489520000000.0,926733000000.0,488682000000.0,1982884000000.0,1416253000000.0,926733000000.0,438051000000.0,438051000000.0,1322217000000.0,461781000000.0,860436000000.0,443481000000.0,1872605000000.0,416955000000.0,1328747000000.0,446252000000.0,882495000000.0,486271000000.0,1831071000000.0,396430000000.0,1188239000000.0,412635000000.0,775604000000.0,410542000000.0,1652873000000.0,365062000000.0,1086399000000.0,389203000000.0,697196000000.0,373711000000.0,1444259000000.0,323485000000.0,904042000000.0,334671000000.0,569371000000.0,299963000000.0,1260682000000.0,269408000000.0,,,,,,,,,,,,,
3,ifrs-full_RevenueFromConstructionContracts,건설형계약매출,Revenue(Sales) from construction contracts,손익계산서 [abstract],매출 및 지분법 손익,건설형계약매출,,405705000000.0,405705000000.0,645549000000.0,692923000000.0,2898931000000.0,1918806000000.0,1273257000000.0,580334000000.0,580334000000.0,476064000000.0,838079000000.0,3343915000000.0,1412912000000.0,1569121000000.0,731042000000.0,731042000000.0,,,3101091000000.0,,,454997000000.0,454997000000.0,,486799000000.0,2165172000000.0,,798945000000.0,312146000000.0,312146000000.0,357994000000.0,325719000000.0,1440577000000.0,948956000000.0,590973000000.0,265254000000.0,265254000000.0,778087000000.0,275810000000.0,502277000000.0,288516000000.0,1447442000000.0,778087000000.0,502277000000.0,213761000000.0,213761000000.0,867086000000.0,337234000000.0,529852000000.0,294769000000.0,1419587000000.0,235083000000.0,1023151000000.0,334826000000.0,688325000000.0,435991000000.0,1531765000000.0,272114000000.0,1330191000000.0,418797000000.0,911394000000.0,502333000000.0,1902328000000.0,409061000000.0,997737000000.0,371617000000.0,626120000000.0,353472000000.0,1605578000000.0,272648000000.0,704057000000.0,252960000000.0,451097000000.0,251638000000.0,1110133000000.0,199459000000.0,,,,,,,,,,,,,
4,entity00120021_udf_IS_2018858363818_Revenue,지분법손익,Equity income,손익계산서 [abstract],매출 및 지분법 손익,지분법손익,,532777000000.0,532777000000.0,227200000000.0,163999000000.0,498945000000.0,768014000000.0,540814000000.0,376815000000.0,376815000000.0,387141000000.0,366860000000.0,1269966000000.0,1227278000000.0,840137000000.0,473277000000.0,473277000000.0,385026000000.0,443091000000.0,1577093000000.0,1332245000000.0,947219000000.0,504128000000.0,504128000000.0,183890000000.0,303755000000.0,807323000000.0,745942000000.0,562052000000.0,258297000000.0,258297000000.0,241054000000.0,258518000000.0,719866000000.0,646487000000.0,405433000000.0,146915000000.0,146915000000.0,564590000000.0,189215000000.0,375375000000.0,226034000000.0,574095000000.0,564590000000.0,375375000000.0,149341000000.0,149341000000.0,577603000000.0,188401000000.0,389202000000.0,231424000000.0,661285000000.0,157778000000.0,644212000000.0,215048000000.0,429164000000.0,195202000000.0,591342000000.0,233962000000.0,577407000000.0,73331000000.0,504076000000.0,261097000000.0,661115000000.0,242979000000.0,1176318000000.0,229541000000.0,946777000000.0,513188000000.0,1228798000000.0,433589000000.0,1176512000000.0,511455000000.0,665057000000.0,578630000000.0,1401857000000.0,86427000000.0,,,,,,,,,,,,,
5,ifrs-full_OtherRevenue,기타매출,Other revenue(Sales),손익계산서 [abstract],매출 및 지분법 손익,기타매출,,108111000000.0,108111000000.0,130035000000.0,130373000000.0,486779000000.0,369141000000.0,239106000000.0,108733000000.0,108733000000.0,124238000000.0,120712000000.0,464884000000.0,349496000000.0,225258000000.0,104546000000.0,104546000000.0,,,455346000000.0,,,100603000000.0,100603000000.0,,103132000000.0,402749000000.0,,193614000000.0,90482000000.0,90482000000.0,109023000000.0,107907000000.0,406968000000.0,309233000000.0,200210000000.0,92303000000.0,92303000000.0,298043000000.0,106576000000.0,191467000000.0,101374000000.0,402589000000.0,298043000000.0,191467000000.0,90093000000.0,90093000000.0,296127000000.0,101185000000.0,194942000000.0,104304000000.0,392754000000.0,90638000000.0,282609000000.0,99566000000.0,183043000000.0,102648000000.0,388778000000.0,80395000000.0,257355000000.0,91084000000.0,166271000000.0,91151000000.0,346901000000.0,75120000000.0,250806000000.0,84782000000.0,166024000000.0,96719000000.0,332911000000.0,69305000000.0,247033000000.0,81882000000.0,165151000000.0,78506000000.0,320134000000.0,86645000000.0,,,,,,,,,,,,,
6,ifrs-full_CostOfSales,매출원가,Cost of sales,손익계산서 [abstract],매출원가,,,887867000000.0,887867000000.0,1232325000000.0,1267575000000.0,5216657000000.0,3591716000000.0,2359391000000.0,1091816000000.0,1091816000000.0,1339670000000.0,1362213000000.0,5619366000000.0,3929313000000.0,2589643000000.0,1227430000000.0,1227430000000.0,2301238000000.0,2192134000000.0,5524321000000.0,6388521000000.0,4087283000000.0,1895149000000.0,1895149000000.0,2017093000000.0,1963456000000.0,7960838000000.0,5653770000000.0,3673150000000.0,1718948000000.0,1718948000000.0,2088618000000.0,1959719000000.0,8338210000000.0,5886727000000.0,3799353000000.0,1839634000000.0,1839634000000.0,5776810000000.0,1999646000000.0,3777164000000.0,2005463000000.0,8361929000000.0,5776810000000.0,3777164000000.0,1771701000000.0,1771701000000.0,5761358000000.0,1966118000000.0,3795240000000.0,2011647000000.0,8184718000000.0,1783593000000.0,5640101000000.0,1939665000000.0,3700436000000.0,2060247000000.0,8045617000000.0,1678747000000.0,5915329000000.0,1945853000000.0,3969476000000.0,2149862000000.0,8277040000000.0,1819614000000.0,4932050000000.0,1758516000000.0,3173534000000.0,1733329000000.0,7168979000000.0,1440205000000.0,4013599000000.0,1458003000000.0,2555596000000.0,1381616000000.0,5870192000000.0,1173980000000.0,67835678000000.0,58247909000000.0,53015390000000.0,48039187000000.0,51791563000000.0,43236379000000.0,16113268000000.0,1213098816000.0,4802643226000.0,3752812403000.0,3510038678.0,3273551052.0,2743650617000.0
7,ifrs-full_GrossProfit,매출총이익,Gross profit,손익계산서 [abstract],매출총이익,,,697510000000.0,697510000000.0,443019000000.0,352056000000.0,1358682000000.0,1330524000000.0,887505000000.0,535449000000.0,535449000000.0,559960000000.0,548833000000.0,2123989000000.0,1763508000000.0,1203548000000.0,654715000000.0,654715000000.0,668973000000.0,661924000000.0,2294961000000.0,2024357000000.0,1355384000000.0,693460000000.0,693460000000.0,424057000000.0,509865000000.0,1713049000000.0,1369921000000.0,948925000000.0,429806000000.0,429806000000.0,501647000000.0,455361000000.0,1627155000000.0,1271316000000.0,769674000000.0,314313000000.0,314313000000.0,1122634000000.0,408141000000.0,714493000000.0,403779000000.0,1503473000000.0,1122634000000.0,714493000000.0,310714000000.0,310714000000.0,1176716000000.0,400592000000.0,776124000000.0,442942000000.0,1614495000000.0,333182000000.0,1355027000000.0,455249000000.0,899778000000.0,469762000000.0,1649587000000.0,425427000000.0,1321301000000.0,363226000000.0,958075000000.0,506065000000.0,1781984000000.0,452010000000.0,1919541000000.0,505787000000.0,1413754000000.0,791482000000.0,2311222000000.0,622272000000.0,1622958000000.0,670221000000.0,952737000000.0,755203000000.0,2129616000000.0,197534000000.0,22386806000000.0,18040425000000.0,12604053000000.0,14006936000000.0,18406457000000.0,14912337000000.0,5333559000000.0,486776589000.0,1698140242000.0,1509026622000.0,1430769922.0,1274240213.0,986078766000.0
8,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,손익계산서 [abstract],판매비와관리비,,,89768000000.0,89768000000.0,87626000000.0,80950000000.0,334584000000.0,240786000000.0,153160000000.0,72210000000.0,72210000000.0,73735000000.0,61969000000.0,302733000000.0,206552000000.0,132817000000.0,70848000000.0,70848000000.0,94785000000.0,92999000000.0,260544000000.0,265678000000.0,170893000000.0,77894000000.0,77894000000.0,103367000000.0,99607000000.0,,302348000000.0,210486000000.0,111583000000.0,111583000000.0,128300000000.0,113435000000.0,,355867000000.0,227805000000.0,114370000000.0,114370000000.0,,,,,,,,115274000000.0,115274000000.0,,,,,,113001000000.0,329881000000.0,113099000000.0,,,,102963000000.0,327790000000.0,121187000000.0,,,,104038000000.0,268081000000.0,93186000000.0,,,,84812000000.0,241466000000.0,80235000000.0,,,,81069000000.0,15465375000000.0,12969656000000.0,11043617000000.0,10739915000000.0,13260383000000.0,11437429000000.0,4449374000000.0,310786310000.0,948827173000.0,858177590000.0,785711014.0,725562499.0,
